ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-07 06:00:00,8,12889,164,20,6.02,121.00,"[(G4, 12339, 121.00),(WN, 11292, 105.00),(WN, 10800, 88.00),(UA, 11292, 86.00),(WN, 14747, 80.00),(AS, 14747, 66.00),(WN, 11066, 63.00),(WN, 15016, 63.00),(WN, 15016, 63.00),(WN, 12892, 61.00),(WN, 15304, 60.00),(UA, 11618, 58.00),(AA, 12478, 51.00),(UA, 11292, 48.00),(WN, 11292, 45.00),(WN, 12896, 41.00),(NK, 12892, 40.00),(UA, 13930, 38.00),(WN, 10599, 35.00),(WN, 13830, 34.00)]"
2025-01-07 06:00:00,9,11618,124,19,14.12,223.00,"[(B6, 15304, 223.00),(UA, 13495, 172.00),(UA, 13204, 164.00),(UA, 13303, 153.00),(UA, 12892, 140.00),(UA, 14747, 122.00),(UA, 13930, 121.00),(UA, 12173, 97.00),(YX, 14685, 86.00),(UA, 15304, 79.00),(UA, 12266, 67.00),(YX, 11278, 60.00),(UA, 13204, 59.00),(AA, 11057, 58.00),(YX, 12339, 45.00),(UA, 13204, 44.00),(YX, 10431, 40.00),(AA, 11057, 39.00),(NK, 12339, 39.00)]"
2025-01-07 06:00:00,10,14747,153,14,6.06,134.00,"[(OO, 11884, 134.00),(AS, 11042, 133.00),(OO, 11884, 109.00),(DL, 10299, 74.00),(OO, 14057, 74.00),(DL, 14908, 62.00),(AS, 12523, 57.00),(DL, 14107, 54.00),(UA, 11292, 49.00),(AS, 11618, 44.00),(DL, 10397, 37.00),(AS, 13495, 35.00),(UA, 13930, 35.00),(AS, 14107, 34.00)]"
2025-01-08 12:00:00,1,11298,276,37,11.21,263.00,"[(DL, 12953, 263.00),(AA, 15412, 171.00),(AA, 12892, 156.00),(AA, 15376, 137.00),(AA, 11042, 122.00),(AA, 13930, 109.00),(MQ, 12217, 103.00),(AA, 11278, 83.00),(AA, 14122, 80.00),(AA, 13303, 80.00),(AA, 13342, 78.00),(OO, 10747, 69.00),(AA, 10423, 69.00),(MQ, 11775, 67.00),(NK, 11433, 66.00),(MQ, 15016, 64.00),(AA, 11995, 62.00),(DL, 12478, 57.00),(MQ, 11140, 54.00),(AA, 12896, 53.00)]"
2025-01-08 12:00:00,2,11292,297,32,8.40,282.00,"[(UA, 12892, 282.00),(UA, 15304, 136.00),(WN, 14679, 128.00),(WN, 13198, 124.00),(WN, 12953, 122.00),(WN, 14122, 102.00),(WN, 14492, 100.00),(UA, 13487, 94.00),(UA, 14107, 91.00),(UA, 15304, 87.00),(WN, 10800, 80.00),(WN, 12339, 79.00),(DL, 13487, 73.00),(UA, 10721, 71.00),(OO, 13486, 63.00),(UA, 10423, 61.00),(WN, 10599, 60.00),(UA, 13198, 50.00),(OO, 10279, 49.00),(OO, 11413, 47.00)]"
2025-01-08 12:00:00,3,13930,248,23,5.34,174.00,"[(UA, 14635, 174.00),(UA, 15304, 101.00),(UA, 13198, 101.00),(OO, 11721, 98.00),(WN, 14107, 97.00),(UA, 14771, 83.00),(OO, 10408, 82.00),(OO, 10408, 75.00),(F9, 10397, 74.00),(AA, 14679, 57.00),(YX, 12953, 55.00),(AA, 10423, 53.00),(NK, 12953, 52.00),(OO, 14696, 50.00),(OO, 13342, 49.00),(AA, 12953, 44.00),(AA, 12892, 43.00),(YX, 12953, 42.00),(OO, 11337, 40.00),(OO, 14783, 40.00)]"
2025-01-08 12:00:00,4,11278,151,21,8.75,132.00,"[(F9, 11292, 132.00),(OH, 14576, 125.00),(OH, 10792, 124.00),(OH, 10792, 100.00),(OH, 10868, 97.00),(AA, 13495, 87.00),(OH, 13577, 84.00),(OH, 15370, 81.00),(OH, 10529, 71.00),(YX, 12953, 59.00),(OH, 12884, 54.00),(OH, 10994, 53.00),(OH, 14635, 50.00),(OH, 14685, 48.00),(AA, 11057, 46.00),(AA, 13930, 45.00),(YX, 13244, 42.00),(OH, 15096, 41.00),(YX, 12478, 40.00),(OH, 14307, 37.00)]"
2025-01-08 12:00:00,5,12953,139,21,11.73,317.00,"[(F9, 10397, 317.00),(YX, 11193, 96.00),(UA, 11292, 80.00),(YX, 15016, 75.00),(YX, 14730, 70.00),(YX, 13871, 60.00),(DL, 11292, 59.00),(DL, 13303, 48.00),(DL, 13198, 46.00),(YX, 14574, 42.00),(YX, 14492, 41.00),(WN, 12191, 40.00),(YX, 11066, 38.00),(DL, 13303, 37.00),(NK, 11066, 37.00),(WN, 15016, 35.00),(NK, 11057, 35.00),(UA, 13930, 34.00),(YX, 11278, 34.00),(F9, 13303, 33.00)]"
2025-01-08 12:00:00,6,14107,173,20,8.23,200.00,"[(WN, 12892, 200.00),(AS, 14747, 192.00),(WN, 10693, 155.00),(OO, 11638, 132.00),(DL, 10397, 123.00),(WN, 13891, 96.00),(AA, 12892, 95.00),(AA, 11193, 92.00),(OO, 10713, 81.00),(WN, 10792, 77.00),(AS, 14747, 74.00),(AS, 14057, 71.00),(UA, 11292, 50.00),(OO, 12892, 42.00),(WN, 14057, 42.00),(OO, 11413, 38.00),(WN, 10821, 37.00),(AA, 11298, 37.00),(WN, 12954, 36.00),(OO, 14698, 31.00)]"
2025-01-08 12:00:00,7,13204,137,18,7.30,110.00,"[(WN, 10821, 110.00),(DL, 12478, 92.00),(WN, 11259, 74.00),(B6, 12953, 57.00),(F9, 14100, 56.00),(F9, 14843, 51.00),(WN, 14730, 49.00),(WN, 13871, 46.00),(WN, 10423, 41.00),(WN, 14107, 40.00),(WN, 13232, 39.00),(DL, 10397, 37.00),(WN, 14843, 35.00),(AS, 14679, 33.00),(DL, 10397, 33.00),(WN, 15016, 31.00),(F9, 12953, 31.00),(DL, 12953, 31.00)]"
2025-01-08 12:00:00,8,11057,187,15,3.84,177.00,"[(AA, 15304, 177.00),(UA, 12266, 130.00),(AA, 11624, 112.00),(MQ, 10431, 89.00),(AA, 11433, 88.00),(AA, 12451, 82.00),(AA, 10721, 72.00),(AA, 13204, 57.00),(AA, 11278, 45.00),(DL, 10397, 44.00),(AA, 11292, 41.00),(AA, 12323, 39.00),(AA, 12266, 34.00),(AA, 12889, 32.00),(AA, 14747, 32.00)]"
2025-01-08 12:00:00,9,10397,225,15,6.00,438.00,"[(OO, 11146, 438.00),(F9, 12953, 247.00),(OO, 10372, 171.00),(OO, 11823, 126.00),(AA, 13303, 116.00),(NK, 12892, 100.00),(OO, 14696, 95.00),(F9, 13232, 52.00),(F9, 13204, 48.00),(DL, 11057, 47.00),(DL, 13871, 41.00),(DL, 13487, 32.00),(DL, 13495, 32.00),(DL, 13204, 31.00),(DL, 13204, 31.00)]"
2025-01-08 12:00:00,10,12892,143,14,3.96,98.00,"[(OO, 15376, 98.00),(WN, 13796, 88.00),(AA, 12889, 76.00),(WN, 10423, 66.00),(UA, 12889, 60.00),(F9, 12266, 55.00),(WN, 14831, 49.00),(OO, 15041, 49.00),(OO, 14107, 46.00),(DL, 12478, 42.00),(HA, 12173, 39.00),(DL, 10397, 38.00),(DL, 14057, 38.00),(UA, 12266, 34.00)]"
2025-01-09 18:00:00,1,12889,89,55,69.53,693.00,"[(F9, 13891, 693.00),(OO, 14893, 234.00),(G4, 11638, 170.00),(OO, 14679, 167.00),(DL, 14747, 149.00),(UA, 14771, 144.00),(WN, 13796, 143.00),(AS, 14771, 140.00),(UA, 11618, 140.00),(WN, 14831, 139.00),(AS, 14057, 134.00),(DL, 12478, 133.00),(AS, 14747, 130.00),(WN, 14689, 130.00),(WN, 13851, 125.00),(WN, 15376, 123.00),(UA, 11292, 123.00),(WN, 14679, 122.00),(DL, 14869, 121.00),(WN, 10800, 118.00)]"
2025-01-09 18:00:00,2,12953,69,52,69.81,310.00,"[(NK, 13204, 310.00),(YX, 12339, 137.00),(YX, 11278, 135.00),(NK, 13930, 128.00),(YX, 10792, 128.00),(OO, 13851, 126.00),(YX, 15096, 123.00),(YX, 12339, 118.00),(YX, 13485, 115.00),(YX, 14122, 114.00),(DL, 11433, 112.00),(DL, 13303, 109.00),(OO, 10693, 108.00),(DL, 14027, 107.00),(NK, 11697, 105.00),(DL, 13487, 105.00),(DL, 13204, 103.00),(AA, 15304, 102.00),(YX, 10721, 99.00),(DL, 12266, 97.00)]"
2025-01-09 18:00:00,3,10397,231,40,16.54,224.00,"[(F9, 12953, 224.00),(OO, 14696, 223.00),(DL, 13931, 219.00),(F9, 11042, 156.00),(OH, 11057, 154.00),(F9, 11292, 135.00),(DL, 12264, 123.00),(DL, 12953, 110.00),(DL, 12953, 103.00),(DL, 12953, 102.00),(F9, 13204, 98.00),(F9, 14100, 96.00),(DL, 12953, 94.00),(B6, 12478, 92.00),(DL, 15249, 91.00),(WN, 13232, 85.00),(F9, 10721, 81.00),(DL, 14843, 79.00),(DL, 11292, 78.00),(DL, 12889, 74.00)]"
